2017-12-28 11:53:15 INFO  FXMLController:233 - La partie commence
2017-12-28 11:53:18 INFO  FXMLController:177 - Ajout d'une pierre noir en position x:8, y:12
2017-12-28 11:53:21 INFO  FXMLController:177 - Ajout d'une pierre blanc en position x:9, y:12
2017-12-28 11:53:23 INFO  FXMLController:177 - Ajout d'une pierre noir en position x:11, y:9
2017-12-28 11:53:25 INFO  FXMLController:177 - Ajout d'une pierre blanc en position x:10, y:9
2017-12-28 11:53:26 INFO  FXMLController:177 - Ajout d'une pierre noir en position x:9, y:11
2017-12-28 11:53:27 INFO  FXMLController:177 - Ajout d'une pierre blanc en position x:11, y:8
2017-12-28 11:53:29 INFO  FXMLController:177 - Ajout d'une pierre noir en position x:10, y:12
2017-12-28 11:53:30 INFO  FXMLController:177 - Ajout d'une pierre blanc en position x:12, y:9
2017-12-28 11:53:31 INFO  FXMLController:177 - Ajout d'une pierre noir en position x:9, y:13
2017-12-28 11:53:33 INFO  FXMLController:177 - Ajout d'une pierre blanc en position x:11, y:10
2017-12-28 11:53:42 INFO  FXMLController:177 - Ajout d'une pierre noir en position x:4, y:10
2017-12-28 11:53:44 INFO  FXMLController:177 - Ajout d'une pierre blanc en position x:5, y:9
2017-12-28 11:53:45 INFO  FXMLController:177 - Ajout d'une pierre noir en position x:4, y:9
2017-12-28 11:53:45 INFO  FXMLController:177 - Ajout d'une pierre blanc en position x:5, y:8
2017-12-28 11:53:46 INFO  FXMLController:177 - Ajout d'une pierre noir en position x:5, y:6
2017-12-28 11:53:47 INFO  FXMLController:177 - Ajout d'une pierre blanc en position x:4, y:8
2017-12-28 11:53:48 INFO  FXMLController:177 - Ajout d'une pierre noir en position x:3, y:6
2017-12-28 11:53:48 INFO  FXMLController:177 - Ajout d'une pierre blanc en position x:3, y:7
2017-12-28 11:53:49 INFO  FXMLController:177 - Ajout d'une pierre noir en position x:1, y:6
2017-12-28 11:53:51 INFO  FXMLController:177 - Ajout d'une pierre blanc en position x:3, y:9
2017-12-28 11:53:51 INFO  FXMLController:177 - Ajout d'une pierre noir en position x:1, y:8
2017-12-28 11:53:52 INFO  FXMLController:177 - Ajout d'une pierre blanc en position x:3, y:10
2017-12-28 11:53:53 INFO  FXMLController:177 - Ajout d'une pierre noir en position x:0, y:11
2017-12-28 11:53:53 INFO  FXMLController:177 - Ajout d'une pierre blanc en position x:4, y:11
2017-12-28 11:53:54 INFO  FXMLController:177 - Ajout d'une pierre noir en position x:2, y:13
2017-12-28 11:53:55 INFO  FXMLController:177 - Ajout d'une pierre blanc en position x:5, y:10
